level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2096	3152	-1	
2	1	1	0	0	0	25	56	357	70	-1	
3	1	1	1	0	0	25	56	357	70	-1	
4	1	1	1	1	0	25	56	357	70	-1	
5	1	1	1	1	1	25	56	357	70	96.595390	Exercises
2	1	2	0	0	0	1754	62	215	64	-1	
3	1	2	1	0	0	1754	62	215	64	-1	
4	1	2	1	1	0	1754	62	215	64	-1	
5	1	2	1	1	1	1754	63	138	58	95.804245	Unit
5	1	2	1	1	2	1928	62	41	64	95.804245	2
2	1	3	0	0	0	25	186	47	32	-1	
3	1	3	1	0	0	25	186	47	32	-1	
4	1	3	1	1	0	25	186	47	32	-1	
5	1	3	1	1	1	25	186	47	32	93.071602	2.1
2	1	4	0	0	0	157	180	534	43	-1	
3	1	4	1	0	0	157	180	534	43	-1	
4	1	4	1	1	0	157	180	534	43	-1	
5	1	4	1	1	1	157	180	35	23	96.579124	给
5	1	4	1	1	2	215	183	47	37	93.222336	下
5	1	4	1	1	3	269	181	37	40	92.231346	列
5	1	4	1	1	4	307	181	111	41	96.218895	问题
5	1	4	1	1	5	434	189	4	14	93.072906	找
5	1	4	1	1	6	440	182	19	37	96.949944	出
5	1	4	1	1	7	479	180	70	42	68.018463	恰当
5	1	4	1	1	8	573	191	24	32	96.401649	的
5	1	4	1	1	9	625	180	66	39	92.871643	回答
2	1	5	0	0	0	234	260	383	34	-1	
3	1	5	1	0	0	234	260	383	34	-1	
4	1	5	1	1	0	234	260	383	34	-1	
5	1	5	1	1	1	234	260	149	34	91.188843	Where’s
5	1	5	1	1	2	399	260	56	34	96.627884	the
5	1	5	1	1	3	471	262	146	32	96.403633	camera?
2	1	6	0	0	0	840	259	197	33	-1	
3	1	6	1	0	0	840	259	197	33	-1	
4	1	6	1	1	0	840	259	197	33	-1	
5	1	6	1	1	1	840	260	31	31	95.002869	A
5	1	6	1	1	2	889	259	148	33	95.002869	London
2	1	7	0	0	0	840	317	279	32	-1	
3	1	7	1	0	0	840	317	279	32	-1	
4	1	7	1	1	0	840	317	279	32	-1	
5	1	7	1	1	1	840	317	27	31	93.238007	B
5	1	7	1	1	2	890	317	60	32	95.984886	No,
5	1	7	1	1	3	982	313	53	45	62.153873	I’m
5	1	7	1	1	4	1057	324	62	25	94.982269	not
2	1	8	0	0	0	230	316	305	45	-1	
3	1	8	1	0	0	230	316	305	45	-1	
4	1	8	1	1	0	230	316	305	45	-1	
5	1	8	1	1	1	230	319	27	31	96.982658	Is
5	1	8	1	1	2	271	329	88	32	96.590141	your
5	1	8	1	1	3	373	329	54	21	96.438164	car
5	1	8	1	1	4	440	316	95	34	96.987427	blue?
2	1	9	0	0	0	230	373	429	34	-1	
3	1	9	1	0	0	230	373	429	34	-1	
