level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2096	3152	-1	
2	1	1	0	0	0	3	0	2093	240	-1	
3	1	1	1	0	0	3	0	2093	240	-1	
4	1	1	1	1	0	3	0	2093	240	-1	
5	1	1	1	1	1	0	0	188	376	30.776234	Ea
5	1	1	1	1	2	231	0	1865	240	0.000000	cyngor)
2	1	2	0	0	0	174	259	28	36	-1	
3	1	2	1	0	0	174	259	28	36	-1	
4	1	2	1	1	0	174	259	28	36	-1	
5	1	2	1	1	1	174	259	28	36	84.195114	A
2	1	3	0	0	0	911	280	131	43	-1	
3	1	3	1	0	0	911	280	131	43	-1	
4	1	3	1	1	0	911	280	131	43	-1	
5	1	3	1	1	1	911	280	131	43	88.933655	疑问
5	1	3	1	1	2	1012	276	34	65	92.420692	式
2	1	4	0	0	0	307	281	129	44	-1	
3	1	4	1	0	0	307	281	129	44	-1	
4	1	4	1	1	0	307	281	129	44	-1	
5	1	4	1	1	1	307	281	129	44	93.295769	肯定
5	1	4	1	1	2	406	277	34	66	92.879890	式
2	1	5	0	0	0	1481	277	464	76	-1	
3	1	5	1	0	0	1481	277	464	76	-1	
4	1	5	1	1	0	1481	277	464	76	-1	
5	1	5	1	1	1	1481	282	32	67	66.408035	(
5	1	5	1	1	2	1525	299	92	30	96.203072	What
5	1	5	1	1	3	1628	308	55	21	95.819664	are
5	1	5	1	1	4	1694	307	59	30	95.819664	you
5	1	5	1	1	5	1766	297	110	40	96.706543	doing?
5	1	5	1	1	6	1901	277	44	76	0.000000	+)
2	1	6	0	0	0	396	370	12	31	-1	
3	1	6	1	0	0	396	370	12	31	-1	
4	1	6	1	1	0	396	370	12	31	-1	
5	1	6	1	1	1	396	370	12	31	95.809311	I
2	1	7	0	0	0	460	380	66	22	-1	
3	1	7	1	0	0	460	380	66	22	-1	
4	1	7	1	1	0	460	380	66	22	-1	
5	1	7	1	1	1	460	380	66	22	95.979485	am
2	1	8	0	0	0	932	378	65	23	-1	
3	1	8	1	0	0	932	378	65	23	-1	
4	1	8	1	1	0	932	378	65	23	-1	
5	1	8	1	1	1	932	378	65	23	95.545425	am
2	1	9	0	0	0	1046	369	12	31	-1	
3	1	9	1	0	0	1046	369	12	31	-1	
4	1	9	1	1	0	1046	369	12	31	-1	
5	1	9	1	1	1	1046	369	12	31	95.213760	I
2	1	10	0	0	0	366	449	44	34	-1	
3	1	10	1	0	0	366	449	44	34	-1	
4	1	10	1	1	0	366	449	44	34	-1	
5	1	10	1	1	1	366	449	44	34	97.008606	he
