level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2096	3152	-1	
2	1	1	0	0	0	1666	478	56	16	-1	
3	1	1	1	0	0	1666	478	56	16	-1	
4	1	1	1	1	0	1666	478	56	16	-1	
5	1	1	1	1	1	1666	478	56	16	15.718699	a
2	1	2	0	0	0	1766	520	18	47	-1	
3	1	2	1	0	0	1766	520	18	47	-1	
4	1	2	1	1	0	1766	520	18	47	-1	
5	1	2	1	1	1	1766	520	18	47	84.935120	\
2	1	3	0	0	0	1093	457	176	129	-1	
3	1	3	1	0	0	1093	457	176	129	-1	
4	1	3	1	1	0	1093	457	176	129	-1	
5	1	3	1	1	1	1093	457	176	129	35.063534	ey
2	1	4	0	0	0	1369	544	53	42	-1	
3	1	4	1	0	0	1369	544	53	42	-1	
4	1	4	1	1	0	1369	544	53	42	-1	
5	1	4	1	1	1	1369	544	53	42	73.612869	>
2	1	5	0	0	0	1377	589	135	21	-1	
3	1	5	1	0	0	1377	589	135	21	-1	
4	1	5	1	1	0	1377	589	135	21	-1	
5	1	5	1	1	1	1377	590	32	7	82.441666	一
5	1	5	1	1	2	1434	585	78	35	42.166080	==
2	1	6	0	0	0	1261	638	45	5	-1	
3	1	6	1	0	0	1261	638	45	5	-1	
4	1	6	1	1	0	1261	638	45	5	-1	
5	1	6	1	1	1	1261	638	45	5	34.983829	PE
2	1	7	0	0	0	1320	626	58	12	-1	
3	1	7	1	0	0	1320	626	58	12	-1	
4	1	7	1	1	0	1320	626	58	12	-1	
5	1	7	1	1	1	1320	626	58	12	10.493402	SS
2	1	8	0	0	0	1560	608	76	40	-1	
3	1	8	1	0	0	1560	608	76	40	-1	
4	1	8	1	1	0	1560	608	76	40	-1	
5	1	8	1	1	1	1560	608	76	40	45.207802	ae
2	1	9	0	0	0	1849	590	17	54	-1	
3	1	9	1	0	0	1849	590	17	54	-1	
4	1	9	1	1	0	1849	590	17	54	-1	
5	1	9	1	1	1	1849	590	17	54	91.495132	\
2	1	10	0	0	0	961	617	145	50	-1	
3	1	10	1	0	0	961	617	145	50	-1	
4	1	10	1	1	0	961	617	145	50	-1	
5	1	10	1	1	1	961	617	145	50	31.491127	i
2	1	11	0	0	0	1853	645	28	48	-1	
3	1	11	1	0	0	1853	645	28	48	-1	
4	1	11	1	1	0	1853	645	28	48	-1	
5	1	11	1	1	1	1853	645	28	48	30.521358	\\
2	1	12	0	0	0	314	682	509	44	-1	
3	1	12	1	0	0	314	682	509	44	-1	
4	1	12	1	1	0	314	682	509	44	-1	
5	1	12	1	1	1	314	682	83	44	96.961342	Jack
5	1	12	1	1	2	410	684	26	31	97.011070	is
5	1	12	1	1	3	450	682	173	44	96.491150	watching
5	1	12	1	1	4	636	682	187	33	96.379860	television.
2	1	13	0	0	0	1799	714	53	19	-1	
3	1	13	1	0	0	1799	714	53	19	-1	
4	1	13	1	1	0	1799	714	53	19	-1	
5	1	13	1	1	1	1799	714	12	18	67.525703	La
5	1	13	1	1	2	1842	721	10	12	21.032070	is
2	1	14	0	0	0	1890	656	36	53	-1	
3	1	14	1	0	0	1890	656	36	53	-1	
4	1	14	1	1	0	1890	656	36	53	-1	
5	1	14	1	1	1	1890	656	36	53	0.000000	.)
2	1	15	0	0	0	321	738	515	45	-1	
3	1	15	1	0	0	321	738	515	45	-1	
4	1	15	1	1	0	321	738	515	45	-1	
5	1	15	1	1	1	321	741	56	31	96.817001	He
5	1	15	1	1	2	392	740	25	32	96.482033	is
5	1	15	1	1	3	433	746	53	26	96.885033	not
5	1	15	1	1	4	499	738	135	45	96.522491	playing
5	1	15	1	1	5	648	738	57	34	97.008522	the
5	1	15	1	1	6	720	740	116	42	96.942177	guitar.
2	1	16	0	0	0	1570	732	52	41	-1	
3	1	16	1	0	0	1570	732	52	41	-1	
4	1	16	1	1	0	1570	732	52	41	-1	
5	1	16	1	1	1	1570	732	52	41	60.767780	ve
2	1	17	0	0	0	1868	735	27	44	-1	
3	1	17	1	0	0	1868	735	27	44	-1	
4	1	17	1	1	0	1868	735	27	44	-1	
5	1	17	1	1	1	1868	735	27	44	70.794487	W
2	1	18	0	0	0	1064	719	324	109	-1	
3	1	18	1	0	0	1064	719	324	109	-1	
4	1	18	1	1	0	1064	719	324	109	-1	
5	1	18	1	1	1	1064	719	324	109	30.305878	eg
2	1	19	0	0	0	320	819	392	45	-1	
3	1	19	1	0	0	320	819	392	45	-1	
4	1	19	1	1	0	320	819	392	45	-1	
5	1	19	1	1	1	320	821	69	32	95.731613	But
5	1	19	1	1	2	396	819	83	45	96.559586	Jack
5	1	19	1	1	3	493	819	56	34	96.751709	has
5	1	19	1	1	4	564	832	18	21	96.139252	a
5	1	19	1	1	5	596	821	116	43	96.139252	guitar.
2	1	20	0	0	0	1608	823	24	38	-1	
3	1	20	1	0	0	1608	823	24	38	-1	
4	1	20	1	1	0	1608	823	24	38	-1	
5	1	20	1	1	1	1608	823	24	38	16.050100	vi
2	1	21	0	0	0	1534	890	51	14	-1	
3	1	21	1	0	0	1534	890	51	14	-1	
4	1	21	1	1	0	1534	890	51	14	-1	
5	1	21	1	1	1	1534	890	51	14	34.818596	a
5	1	21	1	1	2	1577	884	11	28	42.914814	一
2	1	22	0	0	0	1550	799	38	76	-1	
3	1	22	1	0	0	1550	799	38	76	-1	
4	1	22	1	1	0	1550	799	38	76	-1	
5	1	22	1	1	1	1550	799	38	76	56.955841	i
2	1	23	0	0	0	321	875	750	45	-1	
3	1	23	1	0	0	321	875	750	45	-1	
4	1	23	1	1	0	321	875	750	45	-1	
5	1	23	1	1	1	321	878	57	31	96.831139	He
5	1	23	1	1	2	393	876	96	34	96.831139	often
5	1	23	1	1	3	503	876	89	44	96.909920	plays
5	1	23	1	1	4	607	877	25	32	96.419540	it
5	1	23	1	1	5	646	875	67	35	96.239151	and
5	1	23	1	1	6	726	876	44	33	96.328026	he
5	1	23	1	1	7	785	875	90	45	96.553612	plays
5	1	23	1	1	8	890	888	80	31	96.609207	very
5	1	23	1	1	9	983	875	88	34	96.747559	well.
2	1	24	0	0	0	316	956	404	45	-1	
3	1	24	1	0	0	316	956	404	45	-1	
4	1	24	1	1	0	316	956	404	45	-1	
5	1	24	1	1	1	316	956	82	45	96.791756	Jack
5	1	24	1	1	2	411	956	104	45	96.375641	plays
5	1	24	1	1	3	531	956	57	34	96.812820	the
5	1	24	1	1	4	603	958	117	43	96.880791	guitar,
2	1	25	0	0	0	321	1013	718	44	-1	
3	1	25	1	0	0	321	1013	718	44	-1	
4	1	25	1	1	0	321	1013	718	44	-1	
5	1	25	1	1	1	321	1013	62	34	96.970306	but
5	1	25	1	1	2	397	1013	44	34	96.531876	he
5	1	25	1	1	3	455	1013	31	34	96.918976	is
5	1	25	1	1	4	500	1020	70	27	96.933266	not
5	1	25	1	1	5	584	1013	155	44	96.575668	playing
5	1	25	1	1	6	753	1013	57	34	96.046242	the
5	1	25	1	1	7	826	1015	108	42	96.559006	guitar
5	1	25	1	1	8	948	1025	91	22	96.912102	now.
2	1	26	0	0	0	321	1094	475	45	-1	
3	1	26	1	0	0	321	1094	475	45	-1	
4	1	26	1	1	0	321	1094	475	45	-1	
5	1	26	1	1	1	321	1096	34	32	96.884651	Is
5	1	26	1	1	2	369	1094	49	34	96.759651	he
5	1	26	1	1	3	433	1094	154	45	96.410423	playing
5	1	26	1	1	4	601	1094	57	34	96.036057	the
5	1	26	1	1	5	674	1096	122	42	96.808670	guitar?
2	1	27	0	0	0	934	1094	258	40	-1	
3	1	27	1	0	0	934	1094	258	40	-1	
4	1	27	1	1	0	934	1094	258	40	-1	
5	1	27	1	1	1	934	1096	77	38	95.720528	No,
5	1	27	1	1	2	1027	1094	48	34	96.975006	he
5	1	27	1	1	3	1090	1095	102	33	95.615608	isn’t.
2	1	28	0	0	0	1328	1090	272	47	-1	
3	1	28	1	0	0	1328	1090	272	47	-1	
4	1	28	1	1	0	1328	1090	272	47	-1	
5	1	28	1	1	1	1328	1090	137	47	92.824951	(现在
5	1	28	1	1	2	1490	1086	65	66	96.842918	进行
5	1	28	1	1	3	1555	1090	19	44	68.496346	时
5	1	28	1	1	4	1590	1095	10	42	87.757324	)
2	1	29	0	0	0	321	1150	480	45	-1	
3	1	29	1	0	0	321	1150	480	45	-1	
4	1	29	1	1	0	321	1150	480	45	-1	
5	1	29	1	1	1	321	1152	106	32	95.100227	Does
5	1	29	1	1	2	441	1150	48	34	95.100227	he
5	1	29	1	1	3	504	1150	87	45	96.084732	play
5	1	29	1	1	4	606	1150	56	34	96.234291	the
5	1	29	1	1	5	678	1152	123	43	96.632149	guitar?
2	1	30	0	0	0	933	1150	274	40	-1	
3	1	30	1	0	0	933	1150	274	40	-1	
4	1	30	1	1	0	933	1150	274	40	-1	
5	1	30	1	1	1	933	1152	89	38	96.169128	Yes,
5	1	30	1	1	2	1037	1150	49	34	96.816254	he
5	1	30	1	1	3	1101	1150	106	34	96.250893	does.
2	1	31	0	0	0	1328	1146	272	47	-1	
3	1	31	1	0	0	1328	1146	272	47	-1	
4	1	31	1	1	0	1328	1146	272	47	-1	
5	1	31	1	1	1	1328	1146	272	47	93.095596	(一
5	1	31	1	1	2	1416	1142	47	67	93.103485	般
