level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2096	3078	-1	
2	1	1	0	0	0	33	75	351	66	-1	
3	1	1	1	0	0	33	75	351	66	-1	
4	1	1	1	1	0	33	75	351	66	-1	
5	1	1	1	1	1	33	75	351	66	95.689293	Exercises
2	1	2	0	0	0	1742	76	218	59	-1	
3	1	2	1	0	0	1742	76	218	59	-1	
4	1	2	1	1	0	1742	76	218	59	-1	
5	1	2	1	1	1	1742	76	135	55	95.781929	Unit
5	1	2	1	1	2	1914	76	46	59	96.383995	4
2	1	3	0	0	0	29	198	50	30	-1	
3	1	3	1	0	0	29	198	50	30	-1	
4	1	3	1	1	0	29	198	50	30	-1	
5	1	3	1	1	1	29	198	50	30	96.466042	4.1
2	1	4	0	0	0	258	193	17	32	-1	
3	1	4	1	0	0	258	193	17	32	-1	
4	1	4	1	1	0	258	193	17	32	-1	
5	1	4	1	1	1	258	193	2	28	80.573509	|
5	1	4	1	1	2	273	215	2	10	47.187263	t
2	1	5	0	0	0	171	253	56	1	-1	
3	1	5	1	0	0	171	253	56	1	-1	
4	1	5	1	1	0	171	253	56	1	-1	
5	1	5	1	1	1	171	253	56	1	9.755011	aE,
2	1	6	0	0	0	414	252	17	1	-1	
3	1	6	1	0	0	414	252	17	1	-1	
4	1	6	1	1	0	414	252	17	1	-1	
5	1	6	1	1	1	414	252	17	1	93.279251	=
2	1	7	0	0	0	1031	250	57	2	-1	
3	1	7	1	0	0	1031	250	57	2	-1	
4	1	7	1	1	0	1031	250	57	2	-1	
5	1	7	1	1	1	1031	250	57	2	40.407776	—
2	1	8	0	0	0	1381	249	82	1	-1	
3	1	8	1	0	0	1381	249	82	1	-1	
4	1	8	1	1	0	1381	249	82	1	-1	
5	1	8	1	1	1	1381	249	82	1	50.628544	—
2	1	9	0	0	0	1868	248	17	1	-1	
3	1	9	1	0	0	1868	248	17	1	-1	
4	1	9	1	1	0	1868	248	17	1	-1	
5	1	9	1	1	1	1868	248	17	1	49.699459	—
2	1	10	0	0	0	352	292	162	37	-1	
3	1	10	1	0	0	352	292	162	37	-1	
4	1	10	1	1	0	352	292	162	37	-1	
5	1	10	1	1	1	352	294	59	35	93.253700	(you
5	1	10	1	1	2	424	292	9	35	70.287453	/
5	1	10	1	1	3	445	298	69	30	77.826164	wate
2	1	11	0	0	0	544	292	64	35	-1	
3	1	11	1	0	0	544	292	64	35	-1	
4	1	11	1	1	0	544	292	64	35	-1	
5	1	11	1	1	1	544	292	9	35	51.594002	[
5	1	11	1	1	2	566	294	65	39	32.261406	it?)
2	1	12	0	0	0	853	294	449	37	-1	
3	1	12	1	0	0	853	294	449	37	-1	
4	1	12	1	1	0	853	294	449	37	-1	
5	1	12	1	1	1	853	296	59	34	95.852776	(YOU
5	1	12	1	1	2	925	294	9	35	85.321121	|
5	1	12	1	1	3	946	304	34	27	87.416397	go
5	1	12	1	1	4	992	294	8	34	82.384834	|
5	1	12	1	1	5	1013	295	84	32	50.823860	NOW?)
5	1	12	1	1	6	1113	319	189	4	33.629227	es
2	1	13	0	0	0	1357	276	45	33	-1	
3	1	13	1	0	0	1357	276	45	33	-1	
4	1	13	1	1	0	1357	276	45	33	-1	
5	1	13	1	1	1	1357	276	1	16	96.197853	|
5	1	13	1	1	2	1383	279	19	30	96.629189	3
2	1	14	0	0	0	232	343	155	28	-1	
3	1	14	1	0	0	232	343	155	28	-1	
4	1	14	1	1	0	232	343	155	28	-1	
5	1	14	1	1	1	232	343	29	28	0.000000	s<nirg
5	1	14	1	1	2	266	360	9	2	35.124592	py
5	1	14	1	1	3	279	359	42	3	0.000000	suspen
5	1	14	1	1	4	331	359	30	3	0.000000	An
5	1	14	1	1	5	365	359	22	3	0.000000	人
2	1	15	0	0	0	293	330	198	23	-1	
3	1	15	1	0	0	293	330	198	23	-1	
4	1	15	1	1	0	293	330	198	23	-1	
5	1	15	1	1	1	293	333	38	17	80.468925	\ré
5	1	15	1	1	2	359	332	55	27	93.031761	YOu
5	1	15	1	1	3	437	330	54	22	81.326164	wal
2	1	16	0	0	0	498	295	35	55	-1	
3	1	16	1	0	0	498	295	35	55	-1	
4	1	16	1	1	0	498	295	35	55	-1	
5	1	16	1	1	1	498	295	35	55	57.149242	al
2	1	17	0	0	0	536	331	60	30	-1	
3	1	17	1	0	0	536	331	60	30	-1	
4	1	17	1	1	0	536	331	60	30	-1	
5	1	17	1	1	1	536	331	60	30	7.983637	1I09
2	1	18	0	0	0	187	278	110	116	-1	
3	1	18	1	0	0	187	278	110	116	-1	
4	1	18	1	1	0	187	278	110	116	-1	
5	1	18	1	1	1	187	252	178	142	57.313732	‘Cod
2	1	19	0	0	0	424	394	66	36	-1	
3	1	19	1	0	0	424	394	66	36	-1	
4	1	19	1	1	0	424	394	66	36	-1	
5	1	19	1	1	1	424	394	66	36	48.428406	SG
2	1	20	0	0	0	446	446	26	36	-1	
3	1	20	1	0	0	446	446	26	36	-1	
4	1	20	1	1	0	446	446	26	36	-1	
5	1	20	1	1	1	446	446	26	36	47.404438	UL
2	1	21	0	0	0	466	442	43	52	-1	
3	1	21	1	0	0	466	442	43	52	-1	
4	1	21	1	1	0	466	442	43	52	-1	
5	1	21	1	1	1	466	442	43	52	54.991241	Al)
2	1	22	0	0	0	574	450	26	41	-1	
3	1	22	1	0	0	574	450	26	41	-1	
4	1	22	1	1	0	574	450	26	41	-1	
5	1	22	1	1	1	574	450	26	41	14.139204	Lt
2	1	23	0	0	0	208	421	188	100	-1	
3	1	23	1	0	0	208	421	188	100	-1	
4	1	23	1	1	0	208	421	188	100	-1	
5	1	23	1	1	1	208	421	188	100	68.803123	画
2	1	24	0	0	0	595	463	64	42	-1	
3	1	24	1	0	0	595	463	64	42	-1	
4	1	24	1	1	0	595	463	64	42	-1	
5	1	24	1	1	1	595	463	64	42	14.224482	ZX)
2	1	25	0	0	0	975	488	110	23	-1	
3	1	25	1	0	0	975	488	110	23	-1	
4	1	25	1	1	0	975	488	110	23	-1	
5	1	25	1	1	1	975	484	61	32	11.628284	TP)
5	1	25	1	1	2	1051	484	34	32	48.405312	|i"
2	1	26	0	0	0	1131	460	39	57	-1	
3	1	26	1	0	0	1131	460	39	57	-1	
4	1	26	1	1	0	1131	460	39	57	-1	
5	1	26	1	1	1	1131	460	39	57	20.418228	到
2	1	27	0	0	0	1606	500	33	29	-1	
3	1	27	1	0	0	1606	500	33	29	-1	
4	1	27	1	1	0	1606	500	33	29	-1	
5	1	27	1	1	1	1606	500	33	29	49.623367	S
2	1	28	0	0	0	1662	500	95	17	-1	
3	1	28	1	0	0	1662	500	95	17	-1	
4	1	28	1	1	0	1662	500	95	17	-1	
5	1	28	1	1	1	1662	500	95	17	24.576120	Ric
5	1	28	1	1	2	1742	489	18	32	0.000000	吕
2	1	29	0	0	0	1706	458	60	45	-1	
3	1	29	1	0	0	1706	458	60	45	-1	
4	1	29	1	1	0	1706	458	60	45	-1	
5	1	29	1	1	1	1706	458	60	45	20.970512	Ind
2	1	30	0	0	0	233	532	70	42	-1	
3	1	30	1	0	0	233	532	70	42	-1	
4	1	30	1	1	0	233	532	70	42	-1	
5	1	30	1	1	1	233	532	70	42	1.853046	PP
2	1	31	0	0	0	395	520	33	28	-1	
3	1	31	1	0	0	395	520	33	28	-1	
