level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2096	3152	-1	
2	1	1	0	0	0	15	46	359	70	-1	
3	1	1	1	0	0	15	46	359	70	-1	
4	1	1	1	1	0	15	46	359	70	-1	
5	1	1	1	1	1	15	46	359	70	96.517891	Exercises
2	1	2	0	0	0	1746	51	204	65	-1	
3	1	2	1	0	0	1746	51	204	65	-1	
4	1	2	1	1	0	1746	51	204	65	-1	
5	1	2	1	1	1	1746	52	138	58	96.874168	Unit
5	1	2	1	1	2	1926	51	24	65	96.688393	1
2	1	3	0	0	0	14	174	48	32	-1	
3	1	3	1	0	0	14	174	48	32	-1	
4	1	3	1	1	0	14	174	48	32	-1	
5	1	3	1	1	1	14	174	48	32	96.278091	1.1
2	1	4	0	0	0	196	167	697	45	-1	
3	1	4	1	0	0	196	167	697	45	-1	
4	1	4	1	1	0	196	167	697	45	-1	
5	1	4	1	1	1	196	169	78	39	92.929344	出
5	1	4	1	1	2	284	176	15	21	89.924088	缩
5	1	4	1	1	3	301	169	17	33	93.198189	略
5	1	4	1	1	4	332	167	79	42	94.351997	形式
5	1	4	1	1	5	444	168	140	44	35.392628	(she's
5	1	4	1	1	6	574	163	14	54	35.392628	/
5	1	4	1	1	7	602	181	55	26	95.475601	we
5	1	4	1	1	8	675	171	123	36	81.149269	aren't
5	1	4	1	1	9	815	168	78	42	77.459106	=).
2	1	5	0	0	0	417	239	94	32	-1	
3	1	5	1	0	0	417	239	94	32	-1	
4	1	5	1	1	0	417	239	94	32	-1	
5	1	5	1	1	1	417	239	94	32	82.161888	she’s
2	1	6	0	0	0	146	246	143	33	-1	
3	1	6	1	0	0	146	246	143	33	-1	
4	1	6	1	1	0	146	246	143	33	-1	
5	1	6	1	1	1	146	247	12	32	95.171623	1
5	1	6	1	1	2	191	246	58	33	86.790413	she
5	1	6	1	1	3	264	247	25	32	95.327522	is
2	1	7	0	0	0	755	247	191	33	-1	
3	1	7	1	0	0	755	247	191	33	-1	
4	1	7	1	1	0	755	247	191	33	-1	
